Sample Name,Notes,Description of Site Location,Sample Type,Archaeological Site,Position in Excavation,Zone,Easting,Northing,Elevation,Soil Horizon,Soil as Described in Field,Geology Observed in Field ,Geology Description From Field ,Geology Symbol from Map, Geology Name From Map,Lithology from Map,Age From Map,Sample Code,Site Code,87Sr/86Sr,± 87Sr/86Sr,84Sr/86Sr,± 84Sr/86Sr,85Rb/86Sr,± 85Rb/86Sr,,Bioavailable Sr concentration (ppm),Grain size,Sphericity,Roundness,Grain sorting,Munsell value,Munsell colour,pH,moisture,,,,,,,,,,,
R_1024,Amud h3.2913.39 3.3313.38 N13b  ,Archaeological Site of Amud,Sediment,Amud,Layer B1,36S,734330,3640782,N/A,N/A,N/A,N/A,N/A,ebk,Bar Kokhba Formation,Limestone,Mid Eocene,R_1024,Amud,0.719229,0.000009,0.056498,0.000003,0.059825,0.000005,,12.10624576,,,,,,,,,,,,,,,,,,,
R_1025,I4a 32-34-1.87 pig?,Archaeological Site of Amud,Sediment,Amud,Layer B2,36S,734330,3640782,N/A,N/A,N/A,N/A,N/A,ebk,Bar Kokhba Formation,Limestone,Mid Eocene,R_1025,Amud,0.70792,0.00001,0.056524,0.000003,0.048338,0.000006,,164.2199606,,,,,,,,,,,,,,,,,,,
R_1026,N11d 84-80-3.41,Archaeological Site of Amud,Sediment,Amud,Layer B3,36S,734330,3640782,N/A,N/A,N/A,N/A,N/A,ebk,Bar Kokhba Formation,Limestone,Mid Eocene,R_1026,Amud,0.721197,0.00001,0.056501,0.000003,0.023931,0.000004,,94.59779412,,,,,,,,,,,,,,,,,,,
R_1027,B1 L3b 25-70-2.38 B1,Archaeological Site of Amud,Sediment,Amud,Layer B4,36S,734330,3640782,N/A,N/A,N/A,N/A,N/A,ebk,Bar Kokhba Formation,Limestone,Mid Eocene,R_1027,Amud,0.708035,0.000009,0.056501,0.000003,0.016101,0.000004,,19.01037246,,,,,,,,,,,,,,,,,,,
R_1057,"Bovid Tooth, Directly Associated with Skhul IX homin",Archaeological Site of Skhul,Sediment,Skhul,Layer B,36S,684339,3616532,N/A,N/A,N/A,N/A,N/A,c1,Yagur/Kammon Formation,Dolostone,Albian-Cenomanian,R_1057,Skhul,0.708636,0.000012,0.056525,0.000005,0.005074,0.000006,,26.10992454,,,,,,,,,,,,,,,,,,,
R_1058,"Pig Tooth, Directly Associated with Skhul V hominin",Archaeological Site of Skhul,Sediment,Skhul,Layer B,36S,684339,3616532,N/A,N/A,N/A,N/A,N/A,c1,Yagur/Kammon Formation,Dolostone,Albian-Cenomanian,R_1058,Skhul,0.708722,0.000013,0.056518,0.000005,0.020938,0.000006,,83.2926631,,,,,,,,,,,,,,,,,,,
R_370,CXV 14 447 Bovid?,Archaeological Site of Qafzeh,Sediment,Qafzeh,Layer CXV,36S,715464,3618837,N/A,N/A,N/A,N/A,N/A,c3,Sakhnin and Yanuh Formation,"Dolostone, Limestone and Chert",Cenomanian,R_370,Qafzeh,0.708813,0.000015,0.056542,0.000006,0.007268,0.000008,,35.92872992,,,,,,,,,,,,,,,,,,,
R_371,Q79 CXIX C10 349 Bovid,Archaeological Site of Qafzeh,Sediment,Qafzeh, Layer CXIX,36S,715464,3618837,N/A,N/A,N/A,N/A,N/A,c3,Sakhnin and Yanuh Formation,"Dolostone, Limestone and Chert",Cenomanian,R_371,Qafzeh,0.708218,0.000006,0.056506,0.000003,0.005462,0.000002,,0.837527867,,,,,,,,,,,,,,,,,,,
R_371 (2),Q79 CXIX C10 349 Bovid,Archaeological Site of Qafzeh,Sediment,Qafzeh,Layer CXIX,36S,715464,3618837,N/A,N/A,N/A,N/A,N/A,c3,Sakhnin and Yanuh Formation,"Dolostone, Limestone and Chert",Cenomanian,R_371 (2),Qafzeh,0.708203,0.000015,0.056542,0.000006,0.00605,0.000006,,2.148533426,,,,,,,,,,,,,,,,,,,
R_372,X79 CXVII C11-700 Bovid?,Archaeological Site of Qafzeh,Sediment,Qafzeh,Layer CXVII,36S,715464,3618837,N/A,N/A,N/A,N/A,N/A,c3,Sakhnin and Yanuh Formation,"Dolostone, Limestone and Chert",Cenomanian,R_372,Qafzeh,0.709446,0.000011,0.056554,0.000005,0.009663,0.000005,,27.50026621,,,,,,,,,,,,,,,,,,,
R_374,Qafzeh K69 CXV,Archaeological Site of Qafzeh,Sediment,Qafzeh,Layer CXV,36S,715464,3618837,N/A,N/A,N/A,N/A,N/A,c3,Sakhnin and Yanuh Formation,"Dolostone, Limestone and Chert",Cenomanian,R_374,Qafzeh,0.708595,0.00001,0.056509,0.000004,0.014989,0.000005,,1.996482909,,,,,,,,,,,,,,,,,,,
R_521,Not Recorded,Archaeological Site of Skhul,Sediment,Skhul,Not Recorded,36S,684339,3616532,N/A,N/A,N/A,N/A,N/A,c1,Yagur/Kammon Formation,Dolostone,Albian-Cenomanian,R_521,Skhul,0.708815,0.000012,0.056526,0.000005,0.014386,0.000006,,81.72533661,,,,,,,,,,,,,,,,,,,
R_548,Equus,Archaeological Site of Tabun,Sediment,Tabun,Layer B,36S,684314,3616481,N/A,N/A,N/A,N/A,N/A,c1,Yagur/Kammon Formation,Dolostone,Albian-Cenomanian,R_548,Tabun,0.708828,0.000015,0.056589,0.000007,0.005945,0.000008,,8.127780631,,,,,,,,,,,,,,,,,,,
R_549,Deer,Archaeological Site of Tabun,Sediment,Tabun,Layer B,36S,684314,3616481,N/A,N/A,N/A,N/A,N/A,c1,Yagur/Kammon Formation,Dolostone,Albian-Cenomanian,R_549,Tabun,0.708434,0.000009,0.056516,0.000003,0.00386,0.000003,,13.92377466,,,,,,,,,,,,,,,,,,,
R_550,Deer,Archaeological Site of Tabun,Sediment,Tabun,Layer B,36S,684314,3616481,N/A,N/A,N/A,N/A,N/A,c1,Yagur/Kammon Formation,Dolostone,Albian-Cenomanian,R_550,Tabun,0.708506,0.000013,0.056538,0.000005,0.004487,0.000005,,60.29023603,,,,,,,,,,,,,,,,,,,
R_551,Bos,Archaeological Site of Tabun,Sediment,Tabun,Layer C,36S,684314,3616481,N/A,N/A,N/A,N/A,N/A,c1,Yagur/Kammon Formation,Dolostone,Albian-Cenomanian,R_551,Tabun,0.708472,0.000007,0.056505,0.000003,0.003215,0.000003,,52.64038965,,,,,,,,,,,,,,,,,,,
R_552,Bos,Archaeological Site of Tabun,Sediment,Tabun,Layer C,36S,684314,3616481,N/A,N/A,N/A,N/A,N/A,c1,Yagur/Kammon Formation,Dolostone,Albian-Cenomanian,R_552,Tabun,0.708521,0.00001,0.056516,0.000004,0.009311,0.000003,,62.30922043,,,,,,,,,,,,,,,,,,,
R_553,"Bos, Some Uncertainty about this sample number",Archaeological Site of Tabun,Sediment,Tabun,Layer C,36S,684314,3616481,N/A,N/A,N/A,N/A,N/A,c1,Yagur/Kammon Formation,Dolostone,Albian-Cenomanian,R_553,Tabun,0.708633,0.000011,0.056515,0.000004,0.012843,0.000006,,102.8197706,,,,,,,,,,,,,,,,,,,
