Sample Name,Description of Site Location,Sample Type,Zone,Easting,Northing,Elevation,Soil Horizon,Soil as Described in Field,Geology Observed in Field ,Geology Description From Field ,Geology Symbol from Map, Geology Name From Map,Lithology from Map,Gross Lithology,Age From Map,Sample Code,Site Code,87Sr/86Sr,± 87Sr/86Sr,84Sr/86Sr,± 84Sr/86Sr,85Rb/86Sr,± 85Rb/86Sr,,Bioavailable Sr concentration (ppm),Grain size,Sphericity,Roundness,Sorting,Munsell value,Munsell colour,pH,moisture,notes,,,,,
101,Adjacent to Highway 2 in new construction near Kebara Cave,Rock,36S,681536,3604285,7,N/A,N/A,Sandstone with Carbonate Matrix,"Taken 1.5m from surface.  Thinly bedded, horizontal laminations friable sandstone with carbonate matrix.  Coarse grains with moderate sorting.  May be feldspar grains",c3,Sakhnin and Yanuh Formation,"Dolostone, limestone, chert",Carbonate,Cenomanian,RS002,IS004,0.709112,0.00001,0.05649,0.000004,0.000528,0.000007,,10.50307453,coarse,0.7,0.7,moderate,,,,,feldspar grains,,,,,
102,Msylia Cave on Carmel Range east of Highway 4 Sth of Haifa,Rock,36S,684801,3623556,93,N/A,N/A,Reefal Limestone,"Whitish pink limestone with blocky horizontal bedding with some fluting, vuggy dissolution and patterned surface",t,Bina Formation,"Limestone, marl, dolostone",Carbonate,Turonian,RS003,IS005,0.707801,0.000008,0.056492,0.000003,0.002074,0.000004,,1.8215077,,,,,7.5YR 8/2,pinkish white,,,,,,,,
103,"Cave of Nahal Oren, off Highway 4 Sth of Haifa.  Material collected about 5m into cave on E edge",Rock,36S,685092,3621362,52,N/A,N/A,Reefal Limestone,"Collected from large block on cave floor, approximately 1m from E edge.  Abundant fossil material.",t,Bina Formation,"Limestone, marl, dolostone",Carbonate,Turonian,RS004,IS006,0.70763,0.000009,0.056491,0.000003,0.006475,0.000003,,2.336785197,,,,,7.5YR 8/1,white,,,,,,,,
104,"Off Highway 652, South of Neve Sharel",Rock,36S,683780,3603356,66,N/A,N/A,Limestone,"Sample taken 30cm from the base of section.  Clean limestone, no fossils or sedimentary structures observed","t, adjacent to Buc",Bina Formation,"Limestone, marl, dolostone",Carbonate,Turonian,RS005,IS007,0.707975,0.000011,0.056501,0.000004,0.007908,0.000031,,3.750345111,,,,,7.5YR 7/3,pink,,,,,,,,
105,On track into forest North of Bat Shlomo,Rock,36S,687978,3609221,101,N/A,N/A,Chalk,"Very fine grained chalk with blocky bedding in unit, dipping 12º-238º",ea,Adulam Formation,"Chalk, chert",Carbonate,Lower-Middle Eocene,RS006,IS008,0.707924,0.000007,0.056491,0.000002,0.001801,0.000002,,11.78369001,,,,,,,,,,,,,,
106,North of Akko near turnoff to Regba and Nes Ammin (8611),Rock,36S,695586,3650202,9,N/A,N/A,"Calcareous Sandstone ""Kurkar""",Lithified calcareous beach ridge.  Coarse grained and well sorted.,qk,"Calcareous Sandstone ""kurkar""","Clay, silt, sand",Kurkar,Quaternary,RS007,IS009,0.709103,0.000007,0.05649,0.000003,-0.00154,0.000006,,38.255319,coarse,0.7,0.5,well sorted,2.5YR 6/3,light reddish brown,,,,,,,,
107,In small park on Lebanese border,Rock,36S,705301,3661995,397,N/A,N/A,Limestone,Limestone with no bedding structures or fossils present.  Almost chalky with some dissolution in layer above.,t,Bina Formation,"Limestone, marl, dolostone",Carbonate,Turonian,RS008,IS010,0.707577,0.000007,0.056495,0.000002,0.005389,0.000005,,2.299481444,,,,,5YR 8/2,pinkish white,,,,,,,,
108,On Highway 899 at turnoff to Shomeral/Zarit,Rock,36S,712541,3662131,555,N/A,N/A,Very Fine Grained Limestone,"Very fine, almost chalky, limestone with poorly expressed horizontal bedding and no fossils evident",sp,Mount Scopus Group,"Chalk, marl",Carbonate,Senonian-Paleocene,RS009,IS011,0.707328,0.000008,0.056498,0.000003,0.014033,0.000006,,35.57109535,,,,,10YR 8/1,white,,,,,,,,
109,On Road 8994 just south of turnoff from road 899 at Har Biranit,Rock,36S,719243,3659214,674,N/A,N/A,Limestone,Very chalky limestone with little dissolution and blocky bedding dipping 8º-280º,c2,"Deir Hanna Fm., Isfiya Chalk, Bet Oren Limestone, Khureibe Chalk and Junediya Chalk","Limestone, dolostone, marl, chalk, chert",Carbonate,Cenomanian,RS010,IS012,0.707514,0.000008,0.056484,0.000003,0.00305,0.000003,,6.765893102,,,,,10YR 8/2,very pale brown,,,,,,,,
110,On North side of road near a quarry on the way to Beit Jan,Rock,36S,721813,3649514,935,N/A,N/A,Chalky Limestone,Thinly bedded chalky limestone with no fossils or sedimentary structures.  Bedding 12º-91º,c2,"Deir Hanna Fm., Isfiya Chalk, Bet Oren Limestone, Khureibe Chalk and Junediya Chalk","Limestone, dolostone, marl, chalk, chert",Carbonate,Cenomanian,RS011,IS013,0.707795,0.000015,0.056503,0.000007,0.01965,0.000008,,0.573668862,,,,,2.5YR 8/2,pinkish white,,,,,,,,
111,On small side road parallel to Highway 70 near Shafar'am,Rock,36S,702082,3634803,63,N/A,N/A,Limestone Breccia,"Interbedded limestone and breccia with blocky bedding dippling 8º-356º.  Sample taken from breccia, which in composed of limestone fragments",q,Alluvium,"Gravel, sand, clay",Carbonate,Quaternary,RS012,IS015,0.708449,0.000013,0.056496,0.000005,0.004223,0.000005,,8.326279372,,,,,,,,,,,,,,
