,x,y,z
0,10,66,0.14547293009726936
1,29,59,2.1222094651735297
2,63,90,0.7140692198393778
3,20,34,1.8315490239348309
4,75,48,1.3594346543800089
5,41,93,0.44661922771480433
6,95,51,1.6674664995935393
7,89,9,1.970690532561016
8,83,84,0.05386235020194757
9,85,5,0.5798018238885358
10,17,4,-1.1659097177153235
11,16,87,1.9992435113723586
12,88,39,0.23898330151764227
13,65,85,0.39484068763684854
14,30,92,-0.28752468614854354
15,45,69,-2.612084375206922
16,1,89,-0.07135939200659902
17,95,52,1.0135551281747968
18,91,33,-2.459644214134057
19,17,54,1.1327433385906878
20,11,7,1.0527500640103724
21,49,99,-0.6651585065339561
22,42,76,-1.3913296974735214
23,37,83,-0.8654586523690403
24,76,44,1.5623664100599666
25,70,59,1.571455861823642
26,90,24,1.024611651377684
27,64,67,1.2432991385613863
28,95,94,-0.191824478911631
29,96,18,0.7381311282717505
30,31,49,-2.173214488235594
31,87,36,0.3584686217159361
32,43,63,0.27981000101998715
33,87,20,1.0353745273772463
34,65,77,-1.3267095063833092
35,9,8,0.42174984827720474
36,13,90,1.662281487501538
37,47,45,-0.5222458840766312
38,5,21,-1.188951508397222
39,72,41,0.10517759091935208
40,89,82,-0.8367427663958145
41,97,79,-2.031014405147313
42,82,76,-1.1596471284557348
43,93,8,1.3410786259893879
44,45,83,-1.8809912982706978
45,63,69,-0.9551011875105124
46,35,39,-0.679203089960386
47,36,26,-1.0204216686542804
48,34,32,-0.48151632192404203
49,43,17,-1.8497387801967915
50,89,26,-0.04422581336021514
51,39,30,0.11726412513076165
52,21,86,2.2551930681237957
53,86,37,-0.9837631852461347
54,62,67,0.02610193607202249
55,34,90,1.2376020374776642
56,22,72,-0.9541574547568088
57,1,59,-0.42560977289927276
58,98,44,0.43977590932842425
59,95,31,-1.6042758720851462
60,37,69,0.07637897327400697
61,55,59,1.1116770226171644
62,54,66,-0.9864292219148665
63,96,98,0.15934063329244924
64,3,81,1.7112789856114752
65,32,36,-0.9024697570126563
66,21,28,2.8091267110521563
67,47,63,-1.34009249164915
68,52,5,-2.612255582975129
69,76,71,-0.8339524468597705
70,23,9,-0.2234446339160771
71,8,77,2.066362213359239
72,95,52,1.0135551281747968
73,90,95,-0.32868579828108263
74,19,21,4.437096268464655
75,19,75,-0.6339106457269175
76,10,19,-2.832860124811172
77,73,48,-1.3409362272028131
78,54,75,0.5317065080437706
79,99,70,-0.5602668271526734
80,24,46,-0.6050267079367159
81,59,70,-0.8648567649787473
82,48,90,-0.5972001201110075
83,69,37,-2.3964531665089455
84,58,20,-0.3005436762985968
85,31,11,-2.116492018448212
86,20,62,0.9081021990443467
87,36,57,0.5937943385375313
88,52,62,-0.9956914892919293
89,13,93,0.5458611236107767
90,66,61,1.820119298099661
91,25,23,2.379562046982012
92,46,25,-2.1807702947493675
93,3,24,-0.2595100655346241
94,32,93,0.43737486120190544
95,86,20,2.6788617881421715
96,74,7,-1.2678434569183348
97,71,25,0.9008914259454712
98,43,64,0.2760011922362434
99,71,38,0.046266109076106066
100,69,95,-1.7486411848199612
101,96,75,-1.2409229694669137
102,15,16,-0.542902470304734
103,38,38,0.823861423222172
104,93,64,0.5786959809890453
105,91,41,-0.6865522058946156
106,79,94,-0.5178726223747112
107,45,34,-0.39209828863762486
108,62,15,-1.158073963276287
109,22,51,0.7015112517520945
110,2,24,-0.18873032163262976
111,32,55,0.7875053964436269
112,48,78,0.19663584493951458
113,57,17,-1.3811036801481151
114,24,16,1.8307554000858572
115,16,26,1.9065533085868378
116,75,42,-0.16907156677316243
117,92,84,-1.958392194349181
118,86,18,-0.1309428697277677
119,97,52,1.8327188509309753
120,46,84,-2.224699554511076
121,55,95,-0.5439402303579115
122,41,64,-0.030676147696841127
123,63,85,-0.4049464119162507
124,50,64,-0.021638682580628177
125,88,93,0.17942949846757603
126,65,77,-1.3267095063833092
127,87,23,1.5875950417193936
128,77,93,-1.3717032962431541
129,52,89,-0.8244178119462562
130,76,50,0.44059842167003516
131,61,62,1.8398912743919125
132,61,52,-0.3401761902497218
133,78,74,0.9874488507276117
134,80,34,-0.9323373421353707
135,7,27,1.0599736268558728
136,0,74,4.0549646402761965
137,35,10,-0.7809133363292312
138,5,41,-3.988049369041403
139,67,36,0.07023977835051876
140,87,50,0.4079079502573992
141,4,29,-1.6940175109508884
142,72,40,-0.19971327967326308
143,6,59,1.5040176043730555
144,65,97,0.32656607927256964
145,88,26,-0.07367538110897559
146,46,28,-2.9536426842487367
147,28,44,-0.8053365326246233
148,90,88,-0.735370155680641
149,96,56,0.07000364835060524
150,66,72,-1.124591284404066
151,64,16,-1.8678998022684221
152,86,2,1.3839687048964604
153,25,43,-0.7131940824578455
154,49,37,-1.798820694137501
155,89,38,-0.15884294408518834
156,32,82,1.2077065067625339
157,38,35,-0.13605511348197102
158,33,29,-0.6302204622102887
159,99,39,-0.022068735345480706
160,93,98,0.026478777844387513
161,54,93,-1.966480158753181
162,60,11,-2.9692465292666563
163,23,81,0.3583717646652552
164,93,85,-0.42639680983049455
165,66,1,-0.4193159785434559
166,63,79,0.06593619742562007
167,92,40,-0.7744835523395194
168,13,74,0.28831903584052737
169,90,52,0.9807663963741109
170,16,91,2.563024230549797
171,37,43,-0.18296893037769024
172,12,40,-1.699646582633889
173,67,6,-0.8112456127422626
174,21,98,0.2538596108305772
175,68,54,1.4671397485785458
176,58,72,1.7682013277666027
177,21,31,1.7812850741017956
178,42,42,0.5420634807598946
179,35,72,1.853648932822649
180,53,39,-1.6612029919448679
181,42,42,0.5420634807598946
182,6,9,0.7122581433790174
183,51,20,-2.1182483358015203
184,96,76,-1.8393216279823077
185,43,93,0.19552427304722872
186,54,30,-2.142817443738486
187,55,77,0.5203196400575743
188,79,54,-0.6903788158588988
189,64,82,1.6871631547717398
190,35,96,1.6340102697231396
191,62,27,0.17010375676210088
192,59,85,1.1912524984498098
193,47,14,-2.96134760875063
194,62,27,0.17010375676210088
195,4,29,-1.6940175109508884
196,71,6,-1.710964957272398
197,67,45,0.39299574577466223
198,97,86,-0.8959953335759787
199,57,56,-0.05279945890556981
